run_date,market,score,address,price,dom,brokerage,listing_url,zpid,reason,contact_status,suggested_search_1,suggested_search_2,suggested_search_3
2026-07-02,cleveland,101.2,"12 Maple Dr, Olmsted Falls, OH 44138",39000,173,Keller Williams Elevate,https://www.zillow.com/homedetails/12-Maple-Dr-Olmsted-Falls-OH-44138/459687290_zpid/,459687290,no_verified_email_after_enrichment,needs_contact_research,"""12 Maple Dr, Olmsted Falls, OH 44138"" ""Keller Williams Elevate"" email","""Keller Williams Elevate"" Olmsted Falls office email",https://www.zillow.com/homedetails/12-Maple-Dr-Olmsted-Falls-OH-44138/459687290_zpid/
2026-07-02,cleveland,101.0,"657 E 131st St, Cleveland, OH 44108",40000,348,Berkshire Hathaway HomeServices Professional Realty,https://www.zillow.com/homedetails/657-E-131st-St-Cleveland-OH-44108/33391873_zpid/,33391873,no_verified_email_after_enrichment,needs_contact_research,"""657 E 131st St, Cleveland, OH 44108"" ""Berkshire Hathaway HomeServices Professional Realty"" email","""Berkshire Hathaway HomeServices Professional Realty"" Cleveland office email",https://www.zillow.com/homedetails/657-E-131st-St-Cleveland-OH-44108/33391873_zpid/
2026-07-02,cleveland,100.0,"7300 Claasen Ave, Cleveland, OH 44105",32600,105,Berkshire Hathaway HomeServices Stouffer Realty,https://www.zillow.com/homedetails/7300-Claasen-Ave-Cleveland-OH-44105/33426121_zpid/,33426121,no_verified_email_after_enrichment,needs_contact_research,"""7300 Claasen Ave, Cleveland, OH 44105"" ""Berkshire Hathaway HomeServices Stouffer Realty"" email","""Berkshire Hathaway HomeServices Stouffer Realty"" Cleveland office email",https://www.zillow.com/homedetails/7300-Claasen-Ave-Cleveland-OH-44105/33426121_zpid/
2026-07-02,cleveland,99.8,"9807 Elizabeth Ave, Cleveland, OH 44105",44900,119,Howard Hanna,https://www.zillow.com/homedetails/9807-Elizabeth-Ave-Cleveland-OH-44105/33430475_zpid/,33430475,no_verified_email_after_enrichment,needs_contact_research,"""9807 Elizabeth Ave, Cleveland, OH 44105"" ""Howard Hanna"" email","""Howard Hanna"" Cleveland office email",https://www.zillow.com/homedetails/9807-Elizabeth-Ave-Cleveland-OH-44105/33430475_zpid/
2026-07-02,cleveland,99.0,"15610 Van Aken Blvd APT 18, Shaker Heights, OH 44120",49900,121,Coldwell Banker Schmidt Realty,https://www.zillow.com/homedetails/15610-Van-Aken-Blvd-APT-18-Shaker-Heights-OH-44120/82182351_zpid/,82182351,no_verified_email_after_enrichment,needs_contact_research,"""15610 Van Aken Blvd APT 18, Shaker Heights, OH 44120"" ""Coldwell Banker Schmidt Realty"" email","""Coldwell Banker Schmidt Realty"" Shaker Heights office email",https://www.zillow.com/homedetails/15610-Van-Aken-Blvd-APT-18-Shaker-Heights-OH-44120/82182351_zpid/
2026-07-02,cleveland,99.0,"3379 E 130th St, Cleveland, OH 44120",50000,175,Keller Williams Greater Metropolitan,https://www.zillow.com/homedetails/3379-E-130th-St-Cleveland-OH-44120/33420254_zpid/,33420254,no_verified_email_after_enrichment,needs_contact_research,"""3379 E 130th St, Cleveland, OH 44120"" ""Keller Williams Greater Metropolitan"" email","""Keller Williams Greater Metropolitan"" Cleveland office email",https://www.zillow.com/homedetails/3379-E-130th-St-Cleveland-OH-44120/33420254_zpid/
2026-07-02,cleveland,98.5,"1822 Farmington Rd, East Cleveland, OH 44112",50000,117,HomeSmart Real Estate Momentum LLC,https://www.zillow.com/homedetails/1822-Farmington-Rd-East-Cleveland-OH-44112/33646839_zpid/,33646839,no_verified_email_after_enrichment,needs_contact_research,"""1822 Farmington Rd, East Cleveland, OH 44112"" ""HomeSmart Real Estate Momentum LLC"" email","""HomeSmart Real Estate Momentum LLC"" East Cleveland office email",https://www.zillow.com/homedetails/1822-Farmington-Rd-East-Cleveland-OH-44112/33646839_zpid/
2026-07-02,cleveland,98.4,"3633 E 78th St, Cleveland, OH 44105",53000,180,"Joseph Walter Realty, LLC",https://www.zillow.com/homedetails/3633-E-78th-St-Cleveland-OH-44105/33425274_zpid/,33425274,no_verified_email_after_enrichment,needs_contact_research,"""3633 E 78th St, Cleveland, OH 44105"" ""Joseph Walter Realty, LLC"" email","""Joseph Walter Realty, LLC"" Cleveland office email",https://www.zillow.com/homedetails/3633-E-78th-St-Cleveland-OH-44105/33425274_zpid/
2026-07-02,cleveland,98.0,"472 E 110th St, Cleveland, OH 44108",55000,173,Century 21 Homestar,https://www.zillow.com/homedetails/472-E-110th-St-Cleveland-OH-44108/33387790_zpid/,33387790,no_verified_email_after_enrichment,needs_contact_research,"""472 E 110th St, Cleveland, OH 44108"" ""Century 21 Homestar"" email","""Century 21 Homestar"" Cleveland office email",https://www.zillow.com/homedetails/472-E-110th-St-Cleveland-OH-44108/33387790_zpid/
2026-07-02,cleveland,97.0,"16918 Grovewood Ave, Cleveland, OH 44110",59900,148,"Lokal Real Estate, LLC",https://www.zillow.com/homedetails/16918-Grovewood-Ave-Cleveland-OH-44110/33398830_zpid/,33398830,no_verified_email_after_enrichment,needs_contact_research,"""16918 Grovewood Ave, Cleveland, OH 44110"" ""Lokal Real Estate, LLC"" email","""Lokal Real Estate, LLC"" Cleveland office email",https://www.zillow.com/homedetails/16918-Grovewood-Ave-Cleveland-OH-44110/33398830_zpid/
2026-07-02,cleveland,97.0,"14808 Pepper Ave, Cleveland, OH 44110",60000,175,LPT Realty,https://www.zillow.com/homedetails/14808-Pepper-Ave-Cleveland-OH-44110/33401726_zpid/,33401726,no_verified_email_after_enrichment,needs_contact_research,"""14808 Pepper Ave, Cleveland, OH 44110"" ""LPT Realty"" email","""LPT Realty"" Cleveland office email",https://www.zillow.com/homedetails/14808-Pepper-Ave-Cleveland-OH-44110/33401726_zpid/
